Pilot Strategy,Accuracy,Bal. Acc.,F1 (W),Precision,Recall,MCC,Time (s),Best Params,dataset_name
RLT,0.9675,0.6867,0.9627,0.9651,0.9675,0.8586,4.0568,"{'alpha': 0.05, 'combsplit': 1, 'combsplit_th': 0.25, 'embed_mtry': 0.5, 'embed_n_th': 80, 'embed_nmin': 7, 'embed_ntrees': 50, 'importance': True, 'model': 'classification', 'mtry': 5, 'muting': -1, 'n_jobs': -1, 'nmin': 20, 'nsplit': 1, 'ntrees': 50, 'pilot_model': 'decision_tree', 'protect': 2, 'reinforcement': True, 'replacement': True, 'resample_prob': 0.7, 'split_gen': 'random', 'track_obs': False}",HCV
XGBClassifier,0.9512,0.5867,0.9469,0.9434,0.9512,0.7848,0.5695,"{'objective': 'multi:softprob', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 300, 'n_jobs': -1, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8, 'tree_method': None, 'validate_parameters': None, 'verbosity': 0, 'use_label_encoder': False}",HCV
RLT,0.9825,0.9762,0.9824,0.9829,0.9825,0.9626,3.5628,"{'alpha': 0.05, 'combsplit': 1, 'combsplit_th': 0.25, 'embed_mtry': 0.5, 'embed_n_th': 80, 'embed_nmin': 7, 'embed_ntrees': 50, 'importance': True, 'model': 'classification', 'mtry': 5, 'muting': -1, 'n_jobs': -1, 'nmin': 20, 'nsplit': 1, 'ntrees': 50, 'pilot_model': 'decision_tree', 'protect': 2, 'reinforcement': True, 'replacement': True, 'resample_prob': 0.7, 'split_gen': 'random', 'track_obs': False}",wdbc
XGBClassifier,0.9649,0.9524,0.9645,0.9668,0.9649,0.9258,0.2078,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 300, 'n_jobs': -1, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8, 'tree_method': None, 'validate_parameters': None, 'verbosity': 0, 'use_label_encoder': False}",wdbc
RLT,0.8095,0.8,0.8004,0.8603,0.8095,0.6633,2.9583,"{'alpha': 0.05, 'combsplit': 1, 'combsplit_th': 0.25, 'embed_mtry': 0.5, 'embed_n_th': 80, 'embed_nmin': 7, 'embed_ntrees': 50, 'importance': True, 'model': 'classification', 'mtry': 5, 'muting': -1, 'n_jobs': -1, 'nmin': 20, 'nsplit': 1, 'ntrees': 50, 'pilot_model': 'decision_tree', 'protect': 2, 'reinforcement': True, 'replacement': True, 'resample_prob': 0.7, 'split_gen': 'random', 'track_obs': False}",sonar
XGBClassifier,0.9286,0.925,0.928,0.9371,0.9286,0.8649,0.3185,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 300, 'n_jobs': -1, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8, 'tree_method': None, 'validate_parameters': None, 'verbosity': 0, 'use_label_encoder': False}",sonar
RLT,0.9408,0.7785,0.9334,0.9446,0.9408,0.7221,19.4179,"{'alpha': 0.05, 'combsplit': 1, 'combsplit_th': 0.25, 'embed_mtry': 0.5, 'embed_n_th': 80, 'embed_nmin': 7, 'embed_ntrees': 50, 'importance': True, 'model': 'classification', 'mtry': 5, 'muting': -1, 'n_jobs': -1, 'nmin': 20, 'nsplit': 1, 'ntrees': 50, 'pilot_model': 'decision_tree', 'protect': 2, 'reinforcement': True, 'replacement': True, 'resample_prob': 0.7, 'split_gen': 'random', 'track_obs': False}",sms
XGBClassifier,0.9686,0.9053,0.9677,0.968,0.9686,0.8593,24.1144,"{'objective': 'binary:logistic', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 300, 'n_jobs': -1, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8, 'tree_method': None, 'validate_parameters': None, 'verbosity': 0, 'use_label_encoder': False}",sms
RLT,0.8121,0.412,0.7846,0.761,0.8121,0.573,2.6122,"{'alpha': 0.05, 'combsplit': 1, 'combsplit_th': 0.25, 'embed_mtry': 0.5, 'embed_n_th': 80, 'embed_nmin': 7, 'embed_ntrees': 50, 'importance': True, 'model': 'classification', 'mtry': 5, 'muting': -1, 'n_jobs': -1, 'nmin': 20, 'nsplit': 1, 'ntrees': 50, 'pilot_model': 'decision_tree', 'protect': 2, 'reinforcement': True, 'replacement': True, 'resample_prob': 0.7, 'split_gen': 'random', 'track_obs': False}",car
XGBClassifier,0.9942,0.9789,0.9942,0.9942,0.9942,0.9874,0.7704,"{'objective': 'multi:softprob', 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 1, 'device': None, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.05, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 6, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'multi_strategy': None, 'n_estimators': 300, 'n_jobs': -1, 'num_parallel_tree': None, 'random_state': 42, 'reg_alpha': None, 'reg_lambda': None, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8, 'tree_method': None, 'validate_parameters': None, 'verbosity': 0, 'use_label_encoder': False}",car
