Scenario,Pilot Strategy,R2,RMSE,MAE,MAPE (%),MedAE,Max Error,Time (s),param_alpha,param_min_samples_leaf,param_max_depth,param_n_estimators,param_max_features,param_subsample,param_learning_rate,param_colsample_bytree,param_solver,param_learning_rate_init,param_hidden_layer_sizes,param_activation
Scenario 2,Ridge Regression,0.3135,3.0404,2.2248,3784.51,1.5855,12.8457,0.0121,1.0,,,,,,,,,,,
Scenario 2,Decision Tree,0.8739,1.303,1.0282,1018.67,0.8414,5.0882,0.0327,,5.0,10.0,,,,,,,,,
Scenario 2,Random Forest,0.9087,1.1086,0.8886,673.2,0.7536,3.3996,6.0383,,1.0,20.0,300.0,1.0,,,,,,,
Scenario 2,Extra Trees,0.9133,1.0804,0.8648,498.91,0.7148,3.311,3.2786,,1.0,,300.0,1.0,,,,,,,
Scenario 2,Gradient Boosting,0.9128,1.0835,0.867,471.19,0.7164,3.3381,1.445,,,5.0,100.0,,0.8,0.05,,,,,
Scenario 2,XGBoost,0.9053,1.1292,0.898,767.07,0.7547,3.7618,0.1564,,,3.0,100.0,,0.8,0.05,1.0,,,,
Scenario 2,Neural Network (MLP),0.8987,1.1677,0.9175,245.33,0.7607,6.2138,1.1756,0.0001,,,,,,,,adam,0.01,"(100, 50)",relu
Scenario 3,Ridge Regression,0.0001,0.9542,0.8959,89.22,0.7552,1.7021,0.0118,10.0,,,,,,,,,,,
Scenario 3,Decision Tree,0.8179,0.4072,0.1961,19.77,0.0972,2.2588,0.0426,,5.0,20.0,,,,,,,,,
Scenario 3,Random Forest,0.8981,0.3047,0.2171,21.23,0.1623,1.6737,5.7473,,1.0,,300.0,1.0,,,,,,,
Scenario 3,Extra Trees,0.706,0.5174,0.4051,39.98,0.3381,1.6561,2.8521,,1.0,,300.0,1.0,,,,,,,
Scenario 3,Gradient Boosting,0.9008,0.3006,0.1965,19.44,0.1312,2.3208,4.2502,,,5.0,300.0,,1.0,0.05,,,,,
Scenario 3,XGBoost,0.9195,0.2708,0.1688,16.67,0.1062,1.9424,1.0055,,,6.0,300.0,,1.0,0.05,1.0,,,,
Scenario 3,Neural Network (MLP),0.5815,0.6173,0.4647,46.32,0.3584,3.472,5.8713,0.0001,,,,,,,,lbfgs,0.001,"(100, 50)",relu
Scenario 4,Ridge Regression,0.7833,1.0158,0.8131,22.26,0.6848,3.6088,0.0117,0.1,,,,,,,,,,,
Scenario 4,Decision Tree,0.7066,1.1819,0.9324,26.72,0.7601,3.9517,0.0328,,20.0,10.0,,,,,,,,,
Scenario 4,Random Forest,0.7569,1.0758,0.8487,24.89,0.6969,3.6791,3.9827,,4.0,,300.0,1.0,,,,,,,
Scenario 4,Extra Trees,0.7639,1.0602,0.8409,24.94,0.6986,3.4936,1.6362,,4.0,,300.0,1.0,,,,,,,
Scenario 4,Gradient Boosting,0.768,1.0509,0.8308,24.23,0.7017,3.6953,0.9716,,,3.0,100.0,,0.8,0.05,,,,,
Scenario 4,XGBoost,0.7677,1.0515,0.8316,24.19,0.6909,3.7077,0.1573,,,3.0,100.0,,0.8,0.05,1.0,,,,
Scenario 4,Neural Network (MLP),0.7802,1.0228,0.8162,23.63,0.682,3.5298,0.3871,0.0001,,,,,,,,adam,0.01,"(100,)",relu
